id_client;flag_credit;age;sexe;situation_familiale;statut_logement;revenu;flag_tel;flag_email;nb_credits_total;mt_credits_total;nb_credits_actuel;mt_credits_actuel;mt_echeances_actuel;duree_remboursement_actuel;mt_premier_credit;anc_premier_credit;canal_premier_credit;mt_dernier_credit;anc_dernier_credit;canal_dernier_credit
ID_000000716060;0;43;M;Célibataire;;;1;0;6;12314;2;2969;218.40;4;2066.67;;Partenaire;2666.67;635;Mailing
ID_000009248044;0;57;F;Marié;;;1;0;1;667;1;273;16.93;1;666.67;1678;Partenaire;666.67;1678;Partenaire
ID_000010143079;0;48;M;Célibataire;;;1;0;10;21867;3;5519;389.20;2;800.00;5355;Partenaire;1333.33;63;Mailing
ID_000013401975;0;46;M;Célibataire;;;1;0;1;5333;1;5270;114.80;5;5333.33;572;Partenaire;5333.33;572;Partenaire
ID_000015158811;0;53;M;Célibataire;;;1;0;1;933;1;584;38.80;1;933.33;756;Partenaire;933.33;756;Partenaire
ID_000029522662;0;35;F;Marié;;;1;0;1;1333;1;252;37.47;0;1333.33;1668;Partenaire;1333.33;1668;Partenaire
ID_000031400885;0;57;M;Divorcé;Propriétaire;2533.33;1;0;4;7146;1;4323;248.80;5;400.00;7038;Partenaire;4000.00;357;Agence
ID_000033120466;0;25;F;Célibataire;Locataire;626.67;1;0;4;8246;1;2565;118.94;1;1146.67;2090;Partenaire;2432.67;52;Partenaire
ID_000033607379;0;56;F;Célibataire;;;1;0;1;1067;1;257;61.07;0;1066.67;742;Partenaire;1066.67;742;Partenaire
ID_000033880428;1;46;F;Divorcé;Locataire;1946.67;1;0;3;6000;2;4594;224.80;2;1333.33;3905;Partenaire;666.67;112;Agence
ID_000034263198;0;35;M;Marié;Propriétaire;2400.00;1;0;5;6027;2;1734;108.40;1;2000.00;3271;Partenaire;946.53;360;Partenaire
ID_000035993507;0;42;F;Célibataire;Locataire;2200.00;1;0;3;16825;1;4040;410.00;1;1013.33;5119;Partenaire;4000.00;187;Partenaire
ID_000047108403;1;55;F;Célibataire;;;1;0;5;8267;2;2133;124.41;2;1600.00;3134;Partenaire;1333.33;661;Mailing
