id_client;age;sexe;situation_familiale;statut_logement;revenu;flag_tel;flag_email;nb_credits_total;mt_credits_total;nb_credits_actuel;mt_credits_actuel;mt_echeances_actuel;duree_remboursement_actuel;mt_premier_credit;anc_premier_credit;canal_premier_credit;mt_dernier_credit;anc_dernier_credit;canal_dernier_credit
ID_000007229325;42;M;Célibataire;;;1;0;9;10133;1;1037;2982.55;2;800.00;7243;Partenaire;1333.33;724;Mailing
ID_000010505545;39;M;Célibataire;;3333.33;1;0;6;36343;1;3507;2619.84;3;1066.67;7310;Partenaire;3466.67;35;Partenaire
ID_000025046774;51;F;Célibataire;Locataire;1306.67;0;0;3;10395;1;5864;31.76;4;3061.25;2316;Partenaire;5333.33;82;Partenaire
ID_000032823695;52;F;Divorcé;Locataire;2466.67;1;0;8;16120;1;4379;631.82;6;333.33;6786;Partenaire;4000.00;73;Agence
ID_000062218736;52;F;Célibataire;Locataire;1838.80;1;0;5;14667;4;4811;309.20;3;8000.00;4431;Agence;4000.00;958;Agence
ID_000069368736;46;F;Marié;;;1;0;2;5333;2;4522;174.67;3;1333.33;1036;Mailing;4000.00;529;Agence
ID_000072585161;47;M;Célibataire;;;1;0;15;15600;7;4449;337.47;3;666.67;3267;Partenaire;1333.33;48;Mailing
ID_000074239103;43;F;Marié;;;1;0;2;5333;2;5016;140.80;4;4000.00;698;Partenaire;1333.33;342;Mailing
ID_000076205918;41;F;Union libre;Propriétaire;1946.67;1;0;9;14133;2;2825;1666.13;3;933.33;2378;Partenaire;1333.33;4;Agence
ID_000077632754;41;F;Célibataire;;;1;0;2;6000;1;3132;146.27;0;2666.67;828;Partenaire;3333.33;326;Mailing
ID_000079814166;42;F;Marié;Locataire;1466.67;1;0;4;4993;1;2640;0.15;0;933.33;4800;Partenaire;2400.00;77;Partenaire
ID_000087417292;47;F;Marié;Locataire;1800.00;1;0;4;4513;1;2525;38.94;1;266.67;5465;Partenaire;2399.87;49;Partenaire
ID_000088476390;55;F;Célibataire;;;1;0;2;4667;2;4102;142.65;3;1333.33;1605;Partenaire;3333.33;118;Mailing
ID_000089297236;30;M;Marié;Locataire;1800.00;1;0;4;7467;3;5286;155.58;5;2000.00;3309;Partenaire;1466.67;153;Partenaire
ID_000091749533;53;M;Célibataire;Locataire;2104.80;0;1;1;5333;1;5811;133.33;5;5333.33;158;Agence;5333.33;158;Agence
ID_000101750545;37;M;Célibataire;Propriétaire;2733.33;1;0;7;7733;4;4008;165.43;4;1333.33;2846;Partenaire;1333.33;353;Mailing
ID_000102589860;54;M;Marié;;;1;0;5;12667;2;6193;295.73;4;2666.67;1064;Partenaire;1333.33;56;Mailing
ID_000106452238;41;M;Célibataire;;;1;0;1;1147;1;428;43.20;0;1146.67;976;Partenaire;1146.67;976;Partenaire
ID_000109710938;37;M;Célibataire;;;1;0;6;14933;1;5006;5495.48;2;266.67;1511;Partenaire;1333.33;7;Mailing
ID_000112768150;50;F;Célibataire;Locataire;1133.33;1;0;3;8400;1;4343;69.70;4;1333.33;3331;Partenaire;4000.00;54;Agence
ID_000114568149;33;M;Divorcé;Locataire;2400.00;0;1;1;2667;1;2867;105.20;2;2666.67;110;Agence;2666.67;110;Agence
ID_000116777284;44;F;Célibataire;;;1;0;8;12133;1;857;83.20;1;1333.33;7164;Partenaire;1333.33;14;Mailing
ID_000118222587;47;F;Célibataire;;;1;0;5;15733;2;6755;2600.98;4;2800.00;4428;Partenaire;3333.33;179;Mailing
ID_000123605638;40;M;Marié;Locataire;1866.67;1;0;6;6000;3;3228;298.00;2;533.33;1533;Partenaire;1333.33;112;Agence
ID_000125156061;37;F;Célibataire;;;0;0;4;5600;3;4497;183.33;3;1066.67;580;Partenaire;1333.33;56;Mailing
